temp (°C),hum (%),vib (g)
29.1158411481116,54.551419590992786,0.05435690482729291
15.15169105419755,56.40152399409785,0.04892205079323034
29.064833324664733,62.87298689077,0.09237960092929202
17.108074133617084,46.76867740893289,0.07444111170201553
18.39785735939395,66.1127465150467,-0.061369042172228216
15.955140125711441,64.4716854400259,0.13508523118363983
18.67923429307441,48.4589259981052,0.23096331475169676
26.013504982123415,34.95253323952959,-0.004114688871803071
22.583464939258796,47.51419654379262,0.026836900207234386
19.893961941916974,47.22675371845512,0.15663342978697642
22.323304201329663,55.892246120476315,0.16672505263360252
18.393425696471592,48.76613123950975,0.1709420428086716
27.237091641085183,48.08209488832472,0.08456581380905887
26.04075440112869,42.06944663267781,0.011886366601984371
22.987915606659502,52.45284829800157,0.037004005995321644
21.189469779992518,48.711907767902005,0.07543644087524863
35.27460063109654,38.503632611646545,0.20700917921273707
27.10725031251409,37.696397019093766,0.13279551474758314
17.815160009520387,84.07512026012616,0.0919196922895425
36.48051436688582,40.26271059573959,0.12405383306169415
27.023469970094077,47.31152727053542,0.06171646577903252
27.652876961060866,40.60792230318457,0.17548866170224736
27.175804067692855,41.065893603602014,0.12441327348707794
25.9301071151491,59.40219658874238,0.15021115765844192
22.880513455142705,52.150992723992914,0.11766713459477228
28.80745829378529,60.97013037113215,0.12694401334093997
27.14303086290201,53.45484412307116,0.1047710608411285
11.91671134521241,84.36133144578164,0.09146048655706618
26.257200157432745,39.20442417490967,0.08203878876676521
23.963977994778137,69.84132135949551,0.12765897335760987
28.316528115644783,37.10288207397979,0.06307430505569712
26.1694300144555,59.579606629302965,0.17185312970301586
25.74848598520504,39.54870394362417,0.1028200946462949
21.252251411306194,46.66410929031606,0.03280294525691561
21.06536974292138,48.93304319468767,0.1373797796975716
22.772898841220993,49.185447797709834,0.15190274977626972
17.71779415800838,79.14462474931241,0.05568045921561976
19.40672685462083,52.383517721466994,0.07776063780982904
20.657135116520863,52.66193164209203,0.03858758954523306
24.594307219201,53.71846010155842,0.16104732332170046
26.344584633619508,50.81551440583375,0.1430305127316401
25.04978174176328,37.86036682707478,0.14170037355812962
30.470534467131138,41.83384381900479,0.0038811348511861177
13.606498464066654,76.45293336026747,0.08387702723913948
15.385727656212016,72.83578288051918,0.07418976888626265
30.35062220492336,45.36942983752924,0.03885233492952697
28.06877769069299,51.83012445731006,0.13369381347507575
23.484221531139585,53.458965298343855,0.15513239192479714
18.808213951028495,56.773565155884214,0.1258313416721648
35.64571571547105,76.36002557439726,0.1329048729893187
23.278470277273204,37.18585692223198,0.12492951930828192
23.99922939986195,52.764436850796784,0.16691132634021608
22.482545241113847,64.95871198352489,0.1347087111792677
11.533890549096625,76.26939140555038,0.08849769324558851
20.767536901490182,51.68041242666991,0.04704597851108787
21.39981166887382,47.5166934553696,0.025237502329663958
27.435363932467922,55.3695991697262,0.11708652212932905
27.814784583728617,60.87077613208626,0.07449514263829593
23.67374851696547,31.02029043372333,0.10645110690931352
27.55964617842348,39.41188596925889,0.1369222053100632
16.32662620363328,51.76310817230417,0.13049572358552466
24.82562396857511,42.985214306104204,0.11008143171267464
18.24640596094213,57.480155126173685,0.07014920535169204
33.89424443096867,42.17913322868061,0.14252078244128955
27.275439840536897,37.37504120594166,0.001382151710106052
21.069593483892444,48.02005031855852,0.24578820248324462
20.61741279827641,49.75273079768979,0.12056483744472742
19.516726617645325,78.12039877410861,0.07856675582572481
25.820534736367993,51.24709085858387,0.13656243803421392
31.347852952656996,55.29178727454422,0.12419466271728578
24.44601469722203,50.268874592472216,0.12194049175660224
17.47685166095415,52.70353484278877,0.05900522770992849
25.95624181295,47.23649942027282,0.15162086994527044
27.599256647918043,38.657012595171174,-0.008465158342138917
30.458060963583907,54.250399847337476,0.024362641989107335
22.962941742647047,68.72991945848972,0.13983946888645002
26.95748701236258,49.75936634865527,0.15377530478802628
20.471336141656664,53.274092678126856,0.07600036674182409
19.28629051678358,50.58516599985724,0.12788864642124084
13.867710954768777,52.12614275407632,0.11614657951305475
24.334756053386887,51.278191816607546,0.14952627811635508
24.276085161259427,50.09756133832346,0.10880626725510613
23.39282854589607,55.31126666116873,0.195310924834442
21.955035153623044,41.02793078853293,0.10739121269580812
24.472355732245585,56.30172209324096,0.03995664870369999
31.410052621042805,37.83611534969073,0.1787156651503622
28.473095638369784,54.55787632382777,0.18132793672719305
29.863794661327518,52.681879129105525,0.0974952331653536
31.01150091093846,41.628979307492756,0.125378312448688
30.127481774576776,72.35959760573058,0.01752105589912749
24.899027391610186,56.770313402402095,0.15983160375059804
18.925309562664935,57.32458005878168,0.059425886730004374
25.26723061680545,51.67034968769923,0.15471843896425277
27.426184617386564,53.16986312210765,0.17471055813503664
21.075212675015898,53.87620540300341,0.1352651993811602
26.524541809325882,54.80181977438257,0.20520753304888326
23.270775421162483,52.86329645795162,0.1893243687655279
24.375863211918578,35.034253767829036,0.12595363227831896
25.186001034409365,63.512698484364336,0.09700679422285968
30.75132123023042,60.393012110927074,0.21359892016201257
21.42294591301296,58.480847351699076,0.043429535208044906
24.154727678251053,51.46853103692261,0.11147451707444883
20.7908808281528,57.05000456713974,0.0852955248569465
27.064683043423372,52.07106320270358,0.18717834570568895
31.174711429190094,59.015606067540645,0.03592763168242869
18.55157862302973,60.9633922539911,0.1590098526108452
23.099524971210535,53.08290844429715,0.139495383449813
22.29668879570542,59.886372009920386,0.10775047753611328
14.65115632385493,72.8999334878025,0.08350352563536813
25.019363809340877,41.75479456415474,0.12270131530644024
22.935810906404424,41.663864606768094,0.11549380481757103
31.138532068830365,37.67051036235366,0.1858682982224361
28.544966627987325,59.224469846045494,0.09310031422831105
22.089427979628613,48.839652525961085,0.14497577375470838
34.01191088342837,40.16603121105464,0.18066431399527613
23.967006487235153,57.713966510321434,0.09191491715415834
25.205224984992107,39.561798616642356,0.18020613843879635
21.858234801342462,54.259281424334475,0.061534494916977454
26.518514823808367,49.045543915689734,0.14469996423062204
22.62891207373359,34.27655297490688,0.08671760557341436
23.502310452739913,39.82249384233173,0.13083307075441544
29.241471489475046,35.49555425264599,0.12583996135754447
23.25106853349115,53.20756540514716,0.11224100068398055
18.610257424780073,59.879382791762644,0.12799857002355583
19.818100144719956,62.432030557332794,-0.0645005744455137
18.169041230974088,45.538315153664584,0.06817658449528446
21.79146848498729,47.637845258569186,0.17801579521160188
29.53990788656912,52.582473984143995,0.1327547457242973
22.884663878807366,46.868920809870296,0.1277536790056909
26.93950776149192,51.80755963977903,0.0541683390631992
26.609883839455602,59.38793666594213,0.11640424915779475
24.081162988295738,71.53481968194984,0.16268405983575315
27.771283327318635,61.44838500131193,0.09366117531240936
24.056304957499055,62.565807870399595,0.11204797666083924
23.185446180868333,42.63709714811097,0.10962353519813046
12.367880054575917,67.63174437844759,0.10377980955679728
23.170995526373538,34.43583978257959,0.1392707109949924
25.20477329598587,53.789911696681344,0.16938538090438407
23.890553743351692,46.08373630683797,0.11670083092146288
27.290368276757857,44.95658600751773,0.05893578274633819
30.45879339716568,58.854881491536304,0.16436369003925538
18.16558517272063,79.2298696699602,0.13031040449466144
19.359618991865414,53.212544265824555,0.11301462896397291
18.231435184938622,78.69777252492302,0.08032367855077341
25.63074760539262,62.805911811758065,0.14502666052489724
28.526064141540857,43.02218876273419,0.011544753427792685
31.409625786534733,62.452691824170685,0.1302146777432148
17.877018515569866,85.00906825845561,0.0912582422561768
23.39715293419547,56.97258816348796,0.10696670606236745
22.93880079991448,61.38231029036139,0.10263868510651977
30.015371764802737,44.37075600938081,0.07660629946126811
26.074030902521084,54.07177095818052,0.17906316005865647
31.045364833489703,40.36696495577456,0.02070882208830442
23.152499241783325,63.94372330423218,0.1551222498596867
22.186643642331,48.08238359921771,0.132680554314635
18.126560172474434,51.04698417299719,0.14360567302470428
26.543371827387308,48.55588523052905,0.28319882735439744
35.25241974550038,37.54635869335404,0.19064665376122333
22.836662299554753,53.58591286587124,0.11064278967747539
24.159929252493217,38.559479797615644,0.08958146961587982
24.12229607173445,55.61539864699018,0.15520178432571627
11.016497297920267,74.69780108463159,0.061100528289154535
20.416410922013362,39.935896645460524,0.10167917956537065
22.851132801602656,50.492173978576574,0.023538540746945728
11.5832906720683,77.25484469398414,0.09339578830868697
21.87791106392855,43.04413060262748,0.06867715027319563
26.397900803804678,70.78137916160995,0.140609794242394
20.666284731792935,54.999663618613,0.16530549664078165
28.544532707844397,36.391433338162734,0.07841699513518599
26.81439496466273,45.19080223943703,0.24278983008514204
27.69718028660807,51.00246469764329,0.15257365886218524
24.967096283262222,53.38833611240913,0.14521120722220998
32.920260756653214,42.63834641899498,0.0030168473465018095
25.603170429630683,63.015179771091155,0.1780902355432498
18.190036934096423,52.27668437740575,0.1545732699423666
14.624853594204732,49.25754038287169,0.061820459079340626
23.57255141751657,51.03977924365861,0.16448124802529163
19.246199567588615,64.77659712865186,-0.049690415858036685
16.86098447578094,80.90031370202192,0.07724481228553495
23.93259165105205,84.11329306372863,0.07043016363785308
29.639803518922456,52.85588277005275,0.16460819872790022
35.701257157333394,40.51878944164147,0.13391093576896054
18.503171902587848,77.10632550985773,0.058458933139866026
13.50801218922264,44.69079655882888,0.09690820934214357
14.35709963346349,78.52668674192134,0.12794013303263094
19.347538130328864,60.39901688456627,-0.052545096751351154
25.736624164009577,39.794359585251016,0.07309412968818335
27.603472083148738,59.37862733186223,0.1405537345835351
26.488260746646937,59.8525625099825,0.14642038831614296
24.072567533210808,43.5745815160069,0.10720786656892486
26.696428354383333,39.805545901371,0.18186913291327333
21.92767907697148,41.47859780773111,0.22114614172458683
19.360234956717218,55.60675112860263,0.014030418593576045
30.998056231536964,35.06839631299376,0.18439136912107587
15.805784474334727,56.64401341656721,0.15223733242194207
27.03002986732838,39.2605939605663,0.18346779366791482
31.221168304517395,47.73053702904726,0.09908995774136294
24.05300853385076,55.04545176138566,0.15707842291984672
25.653724012493765,69.55664901969223,0.17788016543888002
13.966819916831824,50.34967078187293,0.04853369310893183
19.400144892898915,71.19533654862074,0.15849688779300727
26.661148870547628,67.60831414960624,0.16168331978515302
35.35069369241809,68.07671191482599,0.11740830570935629
27.781671670186114,36.87665559155779,0.16486764285511699
27.87433311347563,42.11976442970692,0.1350289953802554
15.075798700066313,74.7515253754199,0.10699929066046425
28.362538160323645,42.66083999503081,0.17146580747415394
26.99631778961174,67.86932820297469,0.10232328539603922
21.084770457314022,45.05960426677448,0.21853381584562612
25.68158689611668,40.068969753501705,0.10212152966373306
27.81053479279261,54.657686123486705,0.11452106481596536
27.426690977067913,47.708484932519625,0.07500296331290225
22.337873934979033,53.85133095083748,0.20922813579906546
29.877149999174627,44.80491697544008,0.005993489972848185
19.992208471678353,58.73412007932858,0.16060280944504168
26.65980341633398,56.17519238391998,0.15561622260304078
19.7491159308181,81.85425101405826,0.0736537039087309
47.2788159712791,37.920270051607325,0.11143202556283908
20.768548436406896,51.58313013663431,0.11745207983829598
23.0748586630763,54.41634447204125,0.15608667037687893
28.990654756370052,60.15560670333928,0.14212044671652638
27.296749702854534,40.80823522774922,0.18503491505330483
21.93379378011078,55.023427227958074,0.1693952512183613
32.46168692498534,55.938083558804806,0.03517511535994188
24.829417023174383,58.59118155298619,0.06185431434761207
13.663546990561532,51.0003363221693,0.04183651578027731
18.738767394465153,46.5398944213531,0.17773393230591378
24.176201884651068,39.51849721864244,0.1439043646772754
25.278816964761322,66.41504277259978,0.03768868365431559
22.8318952389047,49.658694972297425,-0.011639364556604003
35.394813089765236,36.63388930032342,0.16953563040212669
27.73715606115237,54.17866397860535,0.12014468665269787
24.808802887958056,69.06995772908064,0.13433202870540334
15.834558382373512,69.92209107675043,0.12998240529745836
24.386232516936012,58.347364696249436,0.08930517698931598
25.364488077725145,51.89681771401616,0.17579966709775754
21.598294571697938,52.29976299974411,0.13493025573261938
27.38632438312559,34.721668005881554,0.19504547497245012
30.70904528388036,32.77829018728487,0.18728608322753387
27.564646677489126,41.35569184255121,0.12248650559130081
20.761713522991798,69.17493630670994,0.1640833352577604
26.95110164296728,52.09055945511748,0.2954505345427303
21.513950307175282,50.95578385572377,0.07347236842831319
26.328762295927284,51.82869643067647,0.18740315841192803
24.35388749738721,45.67103943892818,0.010571607577009813
19.913283472630262,52.44074196860946,0.13721910123575762
21.463850736097406,46.65851753750521,0.15982205760404286
25.883254718511473,52.26950187163886,-0.0037189763295989156
27.34293340273919,57.99731759610017,0.15098940348379958
31.496705377929096,56.104491346168736,0.06470578695841026
23.957043377988057,53.47848876883638,0.11399939685648275
24.802541669142187,58.95387572764271,0.0938871376173806
26.536410501046625,46.05930790966348,0.07440282450453904
24.329019549902256,57.36791168653753,0.14617642878754358
24.407205727358484,57.47778712112082,0.10183898182097256
29.342416915091054,62.79176238929161,0.09321436427621346
16.934548219923197,69.44322287051658,0.13357250876977786
27.02524519932661,59.39018031995551,0.15167957194003043
25.66897048534717,34.38658367318971,0.03098823508468899
25.625934715447265,53.34269512551496,0.0516583306659005
30.86103661623338,46.34706726066952,0.004985914851195166
24.45168149439025,61.78873159331021,0.1314732837981237
19.345560524130576,46.70204055431189,0.2146086294571615
23.282853059456162,40.404533453651965,0.10315843105342452
26.69447387183904,55.40203968894309,0.12199446144883813
22.754857333571387,79.46733500789608,0.08336463432674072
34.90829481763474,43.16854577700758,0.13787732336350209
19.560506977436564,53.64300394286506,0.16447261268378202
32.424295444065706,70.41102360085817,0.03301822096901515
14.657607878061588,73.38659732744463,0.1274442340343596
27.913407752984742,46.308448987643025,0.2110140933892918
10.845489443387574,86.35589832360418,0.08023622468129502
28.722702701506556,50.93896618757549,0.19452863098762121
20.79978581616081,46.786661464284975,0.12139834874315211
33.919430753881485,69.87318977307307,0.013912283450270799
20.799065036269692,40.38798396881901,0.20522126327948215
15.256600848468986,70.55285427481117,0.12607852926119092
32.570115861192,48.78239115945487,0.09915551546129535
24.74203265555295,58.320842176254644,0.16331002117330393
31.58170279977871,36.84214578148161,0.062251199874750196
29.60710487662833,33.52955256541084,0.13145232394448872
24.51922192538558,44.103868254245974,0.10676112227012473
31.93416858911229,36.449205771196795,0.07253322604321166
33.26412399348642,33.41820827790346,0.0663325056958776
25.41378813600147,62.98598354817228,0.09903281504532555
29.8368839195477,43.370569804406195,0.04679113855261077
21.918148333809206,33.3488347938771,0.13722324925132792
20.991204211536214,65.38390558641089,-0.06484896816643909
25.704448187751968,46.86570213528277,0.04289850713669974
31.615673012966237,46.32644419838247,0.027058300078303493
19.355984829460176,77.40810241401023,0.09158928469515627
18.575329357200754,35.99865441759027,0.07889669320285025
16.439342268554547,79.97230289854379,0.08082497061615161
12.833082782585308,48.55307453804205,0.09392579758936871
22.201516252808243,67.07327449390817,0.1530200786948339
15.072790339668714,49.978414723035975,0.18839987040884432
28.64227237948055,42.833500821325565,0.06871708203042119
30.86229085099096,38.323619178813075,0.16398720111359966
27.184058338008125,42.924206415422944,0.15670025720541678
31.494203966690097,57.0778083965569,0.0735967763947695
31.036858823524156,65.72544324107555,0.12772406000155967
23.839388411641934,50.99006848518112,0.15002673738745975
25.737298036851787,40.20851078877713,0.012066372785512461
23.29435025594555,53.388518051033564,0.16992479915496803
9.967573966738303,43.09670027850839,0.0878689911127829
47.421933785019405,42.59508937456388,0.107503819527377
28.005803299941974,60.115572346708184,0.08197201039344358
21.150432179640728,47.214873519215416,0.03743813014653067
17.019324220692436,83.11627037397601,0.1399078354109275
27.86940670087933,32.802972603668216,0.1967482562413494
27.522668481929138,39.147009835152744,0.1869407323767199
27.54326875218801,44.06719313744197,0.15992066971457652
18.976920950665505,44.10185438738058,0.15403030353763586
24.892408805105138,47.04874602884052,0.05343290462300422
22.229747168399044,55.46144737675303,0.15987899928009483
27.527788775533036,39.52486110866168,0.12203072157100564
30.433808487359396,35.421434795300634,0.1961284992027282
24.805900320717306,40.533434401682406,0.12928264912759432
10.616297748284444,82.70675724249318,0.07238723164458155
34.57363856816929,74.76458381103618,0.12626668082091488
16.813368230959362,57.19076591710516,-0.05294146994854451
35.92491148944981,49.81095738507035,0.11378505929150072
23.901884576645323,49.317640224452845,0.1206852411078025
30.113034539384383,67.92409508870549,0.12524249731389903
18.326442257052513,64.62130361589664,-0.051731491534986226
25.002791581269598,43.343897607921484,0.11078344264968097
25.894975004899518,56.17724879015577,0.1542551229865157
25.30831426922308,50.96774054734701,0.06030092188124524
26.630163088223785,45.46803749875424,0.028858681857747936
26.10167893674409,56.87683679641506,0.04314144430537561
20.931049378286055,53.6377760724073,0.1231636539983896
25.216680875310352,55.7465372435564,0.06460256981225748
24.29432651019474,35.0875963915053,0.04358454333226471
23.18163987635907,54.88650519991064,0.03306100493797136
21.50220780444024,52.49169766050538,0.037373041132288155
28.433860019302383,52.31723847111872,0.12498904003938799
19.89751698988554,53.327333705034874,0.0678582665419748
23.32477892035415,54.138359448790915,0.18671844191144024
17.49086164992054,49.17557187205472,0.21910513435109613
27.60831916032221,55.551016164848164,0.05880436238324627
21.461004730843623,52.37397277333993,0.017956990716654304
18.961717721279825,56.325380421758354,0.14550863849359527
33.29152482361398,38.98853938283952,0.14558697707364898
31.251721827895217,42.50034795764146,0.10007972873242706
25.731652159129865,59.93313274505663,0.11518939634216821
24.38718810973596,48.62889002276826,0.05979800539815262
27.914112875276157,55.97588148618886,0.1375013449187246
24.70174560842081,55.76228636824037,0.10349426176654578
26.705350786973,44.27455553792367,0.04882921682245322
28.298108869222624,35.626909231473725,0.08883974829763404
15.845082891920885,79.95590001257683,0.08987386248094324
24.917797030891595,53.26131099583365,0.2837280775831279
34.05763278147365,57.93817100941926,0.0982569572665809
23.879257434070585,78.17408771606996,0.1901577293374131
16.90417778013241,82.38870606689949,0.06908695348096201
28.120450402937557,39.43857312723818,0.09057614463337853
26.3011266366366,51.400135810433994,0.11241585285251073
23.046343492188708,72.19245565057135,0.15958498249722036
27.22482567253068,40.05148181389833,0.18349174862714787
13.595830473640632,56.419869159561486,0.05244970042658004
19.62428407501843,53.20116132683165,0.07624095129460769
23.888546131518044,46.60411803776864,0.13374457239547166
15.956990203996735,59.11760112086939,0.162982267454746
21.466896078741343,46.56997531006669,0.21545290099582975
30.766411782730817,73.3145122507366,0.13459480488643083
23.731439289767003,48.368043135543964,0.12942731898410073
25.1652223072264,42.05779112241686,0.13886335546241216
28.57851718758502,48.21400200285913,0.3106361998857615
21.778493667149174,50.97406330591269,0.12853160400256555
23.914878147231725,57.56099971615846,0.19058999675661656
24.954234311152348,53.08259418081635,0.14668822958592037
31.661829770666024,45.97747332616769,0.11025986333551643
20.490724111895986,64.27872306723182,0.12965250421062183
23.425875773104966,52.34602202150981,0.11380322315801028
17.32448748830943,79.2442431549438,0.098593453234169
21.618091148354182,55.42497247476854,0.08754500534759023
29.394900361463076,42.78036005323125,0.15674793097596043
15.155550188549505,57.668748505338456,0.03995488176237768
28.869501808770075,50.21561435270343,0.17978188614996193
25.489831648247943,50.897753254562026,0.13072175418092888
15.5565547709228,57.26219438536154,0.15222121817908327
20.481686046809408,32.868521773778504,0.12882727175371247
18.16757830682701,53.61927828836631,0.15066407333599177
24.674840886902878,47.51758487658082,0.14625889629638442
30.04650413166467,37.123943420111985,0.17874137815255822
30.909291334039718,39.736201914251346,0.12721355171895526
25.600696113733427,53.03483418934193,0.16222537132419984
14.545350062416974,52.559619614508385,0.14915462348518221
21.920726453744884,61.2131020755748,0.08254520062209683
24.85119300994857,43.98033195882428,0.19357260779460317
26.881933922343563,56.74646478704321,0.17609817941200215
21.057520179956256,56.65716713249357,0.15481823371930828
23.685897879816686,63.42050922606347,0.1151235621752017
